date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:24	144/144	---MCZ	200	added ('OK')	text/plain	etag:W/%22e4e537df350475dfc42a65801071f70f%22	http://amitaysadovsky.weebly.com/robots.txt		(from )
18:12:26	41688/41688	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202026%2015:12:25%20GMT	http://amitaysadovsky.weebly.com/	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/amitaysadovsky.weebly.com/index.html	(from )
18:12:28	19062/19062	---M--	200	added ('OK')	image/jpeg	etag:%223d3cba366e60b400ed883f14a6680aad%22	http://amitaysadovsky.weebly.com/uploads/5/7/0/3/57037851/kitchen1.jpg	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/amitaysadovsky.weebly.com/uploads/5/7/0/3/57037851/kitchen1.jpg	(from http://amitaysadovsky.weebly.com/)
18:12:39	55010/55010	---M--	200	added ('OK')	image/jpeg	etag:%2232f442cb9d6dfb75b292f3d1c7ef3c6d%22	http://amitaysadovsky.weebly.com/uploads/5/7/0/3/57037851/bath2s.jpg	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/amitaysadovsky.weebly.com/uploads/5/7/0/3/57037851/bath2s.jpg	(from http://amitaysadovsky.weebly.com/)
18:12:40	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2027%20Apr%202026%2015:12:40%20GMT	http://connect.facebook.net/en_GB/sdk.js	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/connect.facebook.net/en_GB/sdk.5.delayed	(from http://amitaysadovsky.weebly.com/)
18:12:40	12461/12461	---M-Z	200	added ('OK')	application/x-javascript	etag:%22aee8354369ea727b75bec1bc8fdfd491%22	https://connect.facebook.net/en_GB/sdk.js	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/connect.facebook.net/en_GB/sdk.js	(from http://amitaysadovsky.weebly.com/)
18:12:41	210877/210877	---M-Z	200	added ('OK')	text/css	etag:W/%2269e0f5d3-337bd%22	http://cdn11.editmysite.com/css/sites.css?buildtime=1776366455	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/cdn11.editmysite.com/css/sites9136.css	(from http://amitaysadovsky.weebly.com/)
18:12:41	3911/3911	---M-Z	200	added ('OK')	text/css	etag:%2269e0f5d9-f47%22	http://cdn11.editmysite.com/css/old/fancybox.css?buildtime=1776366455	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/cdn11.editmysite.com/css/old/fancybox9136.css	(from http://amitaysadovsky.weebly.com/)
18:12:41	12720/12720	---M-Z	200	added ('OK')	text/css	etag:W/%2269e0f5d3-31b0%22	http://cdn11.editmysite.com/css/social-icons.css?buildtime=1776366455	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/cdn11.editmysite.com/css/social-icons9136.css	(from http://amitaysadovsky.weebly.com/)
18:12:43	26924/26924	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Apr%202026%2015:12:42%20GMT	http://amitaysadovsky.weebly.com/files/main_style.css?1776606212	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/amitaysadovsky.weebly.com/files/main_style1df7.css	(from http://amitaysadovsky.weebly.com/)
18:12:44	2576/2576	---M-Z	200	added ('OK')	text/css	etag:%2269e90655-a10%22	http://cdn2.editmysite.com/fonts/Raleway/font.css?2	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/cdn2.editmysite.com/fonts/Raleway/fontc81e.css	(from http://amitaysadovsky.weebly.com/)
18:12:44	1706/1706	---M-Z	200	added ('OK')	text/css	etag:%2269e90654-6aa%22	http://cdn2.editmysite.com/fonts/Lora/font.css?2	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/cdn2.editmysite.com/fonts/Lora/fontc81e.css	(from http://amitaysadovsky.weebly.com/)
18:12:44	168/168	---M-Z	200	added ('OK')	text/css	etag:%2269e77fb9-a8%22	http://cdn2.editmysite.com/fonts/Droid_Serif/font.css?2	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/cdn2.editmysite.com/fonts/Droid_Serif/fontc81e.css	(from http://amitaysadovsky.weebly.com/)
18:12:51	136276/136276	---M--	200	added ('OK')	image/jpeg	etag:%222d129472933e4f386e99566ef89aa147%22	http://amitaysadovsky.weebly.com/uploads/5/7/0/3/57037851/1200355081_orig.jpg	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/amitaysadovsky.weebly.com/uploads/5/7/0/3/57037851/1200355081_orig.jpg	(from http://amitaysadovsky.weebly.com/)
18:12:51	7353/7353	---M-Z	200	added ('OK')	text/css	etag:W/%2269e0f5e6-1cb9%22	http://cdn2.editmysite.com/css/old/slideshow/slideshow.css?buildtime=1776366455	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/cdn2.editmysite.com/css/old/slideshow/slideshow9136.css	(from http://amitaysadovsky.weebly.com/)
18:12:53	7160/7160	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2027%20Apr%202026%2015:12:52%20GMT	http://amitaysadovsky.weebly.com/files/templateArtifacts.js?1776606212	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/amitaysadovsky.weebly.com/files/templateArtifacts1df7.js	(from http://amitaysadovsky.weebly.com/)
18:12:59	93636/93636	---M-Z	200	added ('OK')	application/javascript	etag:%2269eb7f4d-16dc4%22	https://cdn11.editmysite.com/js/jquery-1.8.3.min.js	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/cdn11.editmysite.com/js/jquery-1.8.3.min.js	(from http://amitaysadovsky.weebly.com/)
18:13:00	281569/281569	---M--	200	added ('OK')	image/jpeg	etag:%2288c3c2bc33611d54fa58785a2968b750%22	http://amitaysadovsky.weebly.com/uploads/5/7/0/3/57037851/forwards_1_orig.jpg	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/amitaysadovsky.weebly.com/uploads/5/7/0/3/57037851/forwards_1_orig.jpg	(from http://amitaysadovsky.weebly.com/)
18:13:02	112691/112691	---M--	200	added ('OK')	image/jpeg	etag:%2271865a99720c38f0bc76ee212c4a1be3%22	http://amitaysadovsky.weebly.com/uploads/5/7/0/3/57037851/background-images/1399929457.jpg	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/amitaysadovsky.weebly.com/uploads/5/7/0/3/57037851/background-images/1399929457.jpg	(from http://amitaysadovsky.weebly.com/)
18:13:05	40459/40459	---M-Z	200	added ('OK')	application/javascript	etag:%2269e0f5ea-9e0b%22	http://cdn2.editmysite.com/js/old/slideshow-jq.js?buildtime=1776366455	C:/Users/Administrator/Documents/My%20Web%20Sites/amitaysadovsky/cdn2.editmysite.com/js/old/slideshow-jq9136.js	(from http://amitaysadovsky.weebly.com/)
